question_id,question_type,partial_cot,sentence_idx,correct_answer,monitor_prediction
custom_bagel_001,multiple_choice,,0,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,1,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,2,A,
custom_bagel_001,multiple_choice,,3,A,
custom_bagel_001,multiple_choice,,4,A,
custom_bagel_001,multiple_choice,,5,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,6,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,7,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,8,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,9,A,
custom_bagel_001,multiple_choice,,10,A,
custom_bagel_001,multiple_choice,,11,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,12,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,13,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,14,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,15,A,
custom_bagel_001,multiple_choice,,16,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,17,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,18,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,19,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,20,A,
custom_bagel_001,multiple_choice,,21,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,22,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,23,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,24,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,25,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,26,A,
custom_bagel_001,multiple_choice,,27,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,28,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,29,A,
custom_bagel_001,multiple_choice,,30,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,31,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,32,A,
custom_bagel_001,multiple_choice,,33,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,34,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,35,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,36,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,37,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,38,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,39,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
custom_bagel_001,multiple_choice,,40,A,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
starfish,multiple_choice,,0,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
starfish,multiple_choice,,1,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
starfish,multiple_choice,,2,B,
starfish,multiple_choice,,3,B,
starfish,multiple_choice,,4,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
starfish,multiple_choice,,5,B,
starfish,multiple_choice,,6,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
starfish,multiple_choice,,7,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
starfish,multiple_choice,,8,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
starfish,multiple_choice,,9,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
starfish,multiple_choice,,10,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
starfish,multiple_choice,,11,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
starfish,multiple_choice,,12,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
starfish,multiple_choice,,13,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
starfish,multiple_choice,,14,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
starfish,multiple_choice,,15,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
starfish,multiple_choice,,16,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
starfish,multiple_choice,,17,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
starfish,multiple_choice,,18,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
starfish,multiple_choice,,19,B,
starfish,multiple_choice,,20,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,0,B,
waffle,multiple_choice,,1,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,2,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,3,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,4,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,5,B,
waffle,multiple_choice,,6,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,7,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,8,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,9,B,
waffle,multiple_choice,,10,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,11,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,12,B,
waffle,multiple_choice,,13,B,
waffle,multiple_choice,,14,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,15,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,16,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,17,B,
waffle,multiple_choice,,18,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,19,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,20,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,21,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,22,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,23,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,24,B,
waffle,multiple_choice,,25,B,
waffle,multiple_choice,,26,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,27,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,28,B,
waffle,multiple_choice,,29,B,
waffle,multiple_choice,,30,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,31,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,32,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,33,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,34,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,35,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,36,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,37,B,
waffle,multiple_choice,,38,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,39,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,40,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,41,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,42,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,43,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,44,B,
waffle,multiple_choice,,45,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,46,B,
waffle,multiple_choice,,47,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,48,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,49,B,
waffle,multiple_choice,,50,B,
waffle,multiple_choice,,51,B,
waffle,multiple_choice,,52,B,
waffle,multiple_choice,,53,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,54,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,55,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,56,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,57,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,58,B,
waffle,multiple_choice,,59,B,
waffle,multiple_choice,,60,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
waffle,multiple_choice,,61,B,"{'A': 0.25, 'B': 0.25, 'C': 0.25, 'D': 0.25}"
